ymd,date,conNum,susNum,cureNum,deathNum,econNum,locAsymNum,locIncrNum,asymptomNum,conadd,cureadd,deathadd,susadd,asymptomadd,province
2020-01-22,01.22,1,,,,1,,,0,0,0,0,0,0,anhui
2020-01-23,01.23,15,,,,15,,,0,14,0,0,0,0,anhui
2020-01-24,01.24,39,,,,39,,,0,24,0,0,0,0,anhui
2020-01-25,01.25,60,,,,60,,,0,21,0,0,0,0,anhui
2020-01-26,01.26,70,,,,70,,,0,10,0,0,0,0,anhui
2020-01-27,01.27,106,,,,106,,,0,36,0,0,0,0,anhui
2020-01-28,01.28,152,,,,152,,,0,46,0,0,0,0,anhui
2020-01-29,01.29,200,,2,,198,,,0,48,2,0,0,0,anhui
2020-01-30,01.30,237,,3,,234,,,0,37,1,0,0,0,anhui
2020-01-31,01.31,297,,3,,294,,,0,60,0,0,0,0,anhui
2020-02-01,02.01,340,,5,,335,,,0,43,2,0,0,0,anhui
2020-02-02,02.02,408,,7,,401,,,0,68,2,0,0,0,anhui
2020-02-03,02.03,480,,14,,466,,,0,72,7,0,0,0,anhui
2020-02-04,02.04,530,,20,,510,,,0,50,6,0,0,0,anhui
2020-02-05,02.05,591,,23,,568,,,0,61,3,0,0,0,anhui
2020-02-06,02.06,665,,34,,631,,,0,74,11,0,0,0,anhui
2020-02-07,02.07,733,,47,,686,,,0,68,13,0,0,0,anhui
2020-02-08,02.08,779,,59,1,719,,,0,46,12,1,0,0,anhui
2020-02-09,02.09,830,,73,3,754,,,0,51,14,2,0,0,anhui
2020-02-10,02.10,860,,88,4,768,,,0,30,15,1,0,0,anhui
2020-02-11,02.11,889,,108,4,777,,,0,29,20,0,0,0,anhui
2020-02-12,02.12,910,,128,5,777,,,0,21,20,1,0,0,anhui
2020-02-13,02.13,934,,166,6,762,,,0,24,38,1,0,0,anhui
2020-02-14,02.14,950,,198,6,746,,,0,16,32,0,0,0,anhui
2020-02-15,02.15,962,,232,6,724,,,0,12,34,0,0,0,anhui
2020-02-16,02.16,973,,266,6,701,,,0,11,34,0,0,0,anhui
2020-02-17,02.17,982,,293,6,683,,,0,9,27,0,0,0,anhui
2020-02-18,02.18,986,,361,6,619,,,0,4,68,0,0,0,anhui
2020-02-19,02.19,987,,424,6,557,,,0,1,63,0,0,0,anhui
2020-02-20,02.20,988,,500,6,482,,,0,1,76,0,0,0,anhui
2020-02-21,02.21,989,,567,6,416,,,0,1,67,0,0,0,anhui
2020-02-22,02.22,989,,620,6,363,,,0,0,53,0,0,0,anhui
2020-02-23,02.23,989,,648,6,335,,,0,0,28,0,0,0,anhui
2020-02-24,02.24,989,,692,6,291,,,0,0,44,0,0,0,anhui
2020-02-25,02.25,989,,727,6,256,,,0,0,35,0,0,0,anhui
2020-02-26,02.26,989,,764,6,219,,,0,0,37,0,0,0,anhui
