Day,positiverate,Cases,Tests,Type
2022-12-09,0.196580032191484,430911.907320789,219204312.1150005,PCR
2022-12-10,0.42250074423908,531855.9556786689,125882844.68860206,PCR
2022-12-11,0.799035264318398,712057.682313347,89114675.42308718,PCR
2022-12-12,0.799035264318398,852630.569809625,106707501.89441834,PCR
2022-12-13,0.924546771011499,993203.457305904,107425983.02726117,PCR
2022-12-14,1.50189970179979,1173940.02694398,78163676.67808962,PCR
2022-12-15,2.1043549339267,1756313.41799999,83460892.91708654,PCR
2022-12-16,3.13354928881017,2258359.44477241,72070334.20016587,PCR
2022-12-17,4.94091498519089,3081714.9286791896,62371340.89365695,PCR
2022-12-18,8.78156708999995,4025561.4590113503,45841037.45669127,PCR
2022-12-19,11.4675133332324,5069817.19469799,44210257.68512394,PCR
2022-12-20,13.4003905363062,5873090.83753387,43827758.76286349,PCR
2022-12-21,18.3455439000146,6395218.70537719,34859793.42030901,PCR
2022-12-22,22.4623213195485,6937428.41429141,30884734.999556378,PCR
2022-12-23,26.1272573149872,6294809.50002271,24092882.86226607,PCR
2022-12-24,27.5831907926272,5650969.52908587,20487004.464314315,PCR
2022-12-25,29.0642265716059,4708344.05542185,16199791.327052325,PCR
2022-12-26,28.3613621341245,4432132.96398892,15627362.829150438,PCR
2022-12-27,27.8091115046748,4306707.23400391,15486676.851505805,PCR
2022-12-28,26.6293033417596,3483351.75009713,13080897.030582847,PCR
2022-12-29,23.7425386878182,2880896.5179702197,12133902.595042827,PCR
2022-12-30,22.0104798954533,2378850.4911978003,10807808.38262958,PCR
2022-12-31,21.2825131566333,2117786.5572761297,9950829.31085167,PCR
2023-01-01,20.8557740338767,1555495.0072910201,7458342.254592805,PCR
2023-01-02,19.0735106388346,1240997.2299169002,6506391.263861878,PCR
2023-01-03,17.3665541478084,1329639.8891966802,7656325.358962913,PCR
2023-01-04,15.5591884514277,1197673.1118459501,7697529.4411068885,PCR
2023-01-05,14.2538687818194,952908.5872576169,6685262.800181225,PCR
2023-01-06,12.6975260988249,812466.887667831,6398623.490468914,PCR
2023-01-07,11.9444570586662,664819.944598338,5565928.541858531,PCR
2023-01-08,12.3460938800842,471075.589462583,3815584.0546659627,PCR
2023-01-09,12.3962984827614,376731.301939058,3039062.849793024,PCR
2023-01-10,10.0868867596082,354570.637119114,3515164.2480904227,PCR
2023-01-11,10.6893419917352,250175.337682716,2340418.501682769,PCR
2023-01-12,9.03259010338616,243767.313019391,2698753.184072937,PCR
2023-01-13,9.66014763685168,199445.983379501,2064626.6586925795,PCR
2023-01-14,7.50134972173026,155124.65373961203,2067956.5610737982,PCR
2023-01-15,9.38402232212685,109602.450186437,1167968.771003478,PCR
2023-01-16,7.72727043377785,88642.65927977789,1147140.63703916,PCR
2023-01-17,5.36765410794746,85504.2409013612,1592953.628937488,PCR
2023-01-18,6.19603005212196,88642.65927977789,1430636.3677080674,PCR
2023-01-19,4.76519887582055,66481.9944598337,1395156.7645408239,PCR
2023-01-20,5.91990473739713,66481.9944598337,1123024.7345004505,PCR
2023-01-21,5.14173339589987,44321.3296398884,861991.9826109847,PCR
2023-01-22,6.3717461614923,22160.6648199442,347795.7887568145,PCR
